O,D,O행정동명,D행정동명,naver_p,naver_c,time_pt,time_car
1165053000,1162060500,서초3동,은천동,"https://map.naver.com/p/directions/14138479.690288948,4507030.990309206/14131260.08697745,4507269.133915621/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14138479.690288948,4507030.990309206/14131260.08697745,4507269.133915621/-/car?c=15.00,0,0,0,dh",38,22
1162060500,1165053000,은천동,서초3동,"https://map.naver.com/p/directions/14131260.08697745,4507269.133915621/14138479.690288948,4507030.990309206/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14131260.08697745,4507269.133915621/14138479.690288948,4507030.990309206/-/car?c=15.00,0,0,0,dh",44,23
1130560300,1123061000,번2동,답십리제2동,"https://map.naver.com/p/directions/14141485.906533668,4526953.865301566/14144339.626207948,4518829.757006729/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14141485.906533668,4526953.865301566/14144339.626207948,4518829.757006729/-/car?c=15.00,0,0,0,dh",54,27
1123061000,1130560300,답십리제2동,번2동,"https://map.naver.com/p/directions/14144339.626207948,4518829.757006729/14141485.906533668,4526953.865301566/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14144339.626207948,4518829.757006729/14141485.906533668,4526953.865301566/-/car?c=15.00,0,0,0,dh",49,26
1162076500,1168058000,미성동,삼성1동,"https://map.naver.com/p/directions/14128144.443673281,4505427.5313866995/14144251.45003929,4511266.291890417/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14128144.443673281,4505427.5313866995/14144251.45003929,4511266.291890417/-/car?c=15.00,0,0,0,dh",60,47
1168058000,1162076500,삼성1동,미성동,"https://map.naver.com/p/directions/14144251.45003929,4511266.291890417/14128144.443673281,4505427.5313866995/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14144251.45003929,4511266.291890417/14128144.443673281,4505427.5313866995/-/car?c=15.00,0,0,0,dh",58,48
1123053600,1120069000,없음,성수2가제3동,"https://map.naver.com/p/directions/14141370.37916612,4519733.504903209/14144026.840702718,4515420.776140581/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14141370.37916612,4519733.504903209/14144026.840702718,4515420.776140581/-/car?c=15.00,0,0,0,dh",21,20
1120069000,1123053600,성수2가제3동,없음,"https://map.naver.com/p/directions/14144026.840702718,4515420.776140581/14141370.37916612,4519733.504903209/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14144026.840702718,4515420.776140581/14141370.37916612,4519733.504903209/-/car?c=15.00,0,0,0,dh",21,17
1147068000,1120069000,신정7동,성수2가제3동,"https://map.naver.com/p/directions/14122545.485168492,4510485.040983142/14144026.840702718,4515420.776140581/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14122545.485168492,4510485.040983142/14144026.840702718,4515420.776140581/-/car?c=15.00,0,0,0,dh",65,51
1120069000,1171063200,성수2가제3동,가락2동,"https://map.naver.com/p/directions/14144026.840702718,4515420.776140581/14152203.290697332,4508516.527713034/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14144026.840702718,4515420.776140581/14152203.290697332,4508516.527713034/-/car?c=15.00,0,0,0,dh",39,29
1159067000,1168065000,신대방제1동,역삼2동,"https://map.naver.com/p/directions/14127742.51351982,4507729.025324598/14142575.601897093,4508819.217675064/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14127742.51351982,4507729.025324598/14142575.601897093,4508819.217675064/-/car?c=15.00,0,0,0,dh",51,53
1168065000,1159067000,역삼2동,신대방제1동,"https://map.naver.com/p/directions/14142575.601897093,4508819.217675064/14127742.51351982,4507729.025324598/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14142575.601897093,4508819.217675064/14127742.51351982,4507729.025324598/-/car?c=15.00,0,0,0,dh",51,43
1123060000,1123057000,답십리제1동,전농제2동,"https://map.naver.com/p/directions/14143359.458091516,4518989.072343961/14144471.161318272,4520361.7729381025/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14143359.458091516,4518989.072343961/14144471.161318272,4520361.7729381025/-/car?c=15.00,0,0,0,dh",19,6
1123057000,1123060000,전농제2동,답십리제1동,"https://map.naver.com/p/directions/14144471.161318272,4520361.7729381025/14143359.458091516,4518989.072343961/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14144471.161318272,4520361.7729381025/14143359.458091516,4518989.072343961/-/car?c=15.00,0,0,0,dh",21,7
1123060000,1123056000,답십리제1동,전농제1동,"https://map.naver.com/p/directions/14143359.458091516,4518989.072343961/14143212.182405194,4520319.861850607/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14143359.458091516,4518989.072343961/14143212.182405194,4520319.861850607/-/car?c=15.00,0,0,0,dh",17,7
1123056000,1123060000,전농제1동,답십리제1동,"https://map.naver.com/p/directions/14143212.182405194,4520319.861850607/14143359.458091516,4518989.072343961/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14143212.182405194,4520319.861850607/14143359.458091516,4518989.072343961/-/car?c=15.00,0,0,0,dh",12,6
1141066000,1129063000,홍은제1동,정릉제2동,"https://map.naver.com/p/directions/14131687.876648618,4523179.974871972/14138685.787194204,4523687.7904553395/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14131687.876648618,4523179.974871972/14138685.787194204,4523687.7904553395/-/car?c=15.00,0,0,0,dh",34,14
1129063000,1141066000,정릉제2동,홍은제1동,"https://map.naver.com/p/directions/14138685.787194204,4523687.7904553395/14131687.876648618,4523179.974871972/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14138685.787194204,4523687.7904553395/14131687.876648618,4523179.974871972/-/car?c=15.00,0,0,0,dh",40,19
1132051100,1168051000,창제1동,없음,"https://map.naver.com/p/directions/14143268.643650927,4530276.594193376/14127156.282817405,4522129.57169962/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14143268.643650927,4530276.594193376/14127156.282817405,4522129.57169962/-/car?c=15.00,0,0,0,dh",82,52
1168051000,1132051100,없음,창제1동,"https://map.naver.com/p/directions/14127156.282817405,4522129.57169962/14143268.643650927,4530276.594193376/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14127156.282817405,4522129.57169962/14143268.643650927,4530276.594193376/-/car?c=15.00,0,0,0,dh",85,46
1114066500,1114067000,동화동,황학동,"https://map.naver.com/p/directions/14139518.546040928,4517552.636635096/14139874.612564182,4518662.830607817/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14139518.546040928,4517552.636635096/14139874.612564182,4518662.830607817/-/car?c=15.00,0,0,0,dh",20,10
1114067000,1114052000,황학동,소공동,"https://map.naver.com/p/directions/14139874.612564182,4518662.830607817/14134811.802122902,4518070.356441788/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14139874.612564182,4518662.830607817/14134811.802122902,4518070.356441788/-/car?c=15.00,0,0,0,dh",22,19
1114052000,1114066500,소공동,동화동,"https://map.naver.com/p/directions/14134811.802122902,4518070.356441788/14139518.546040928,4517552.636635096/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14134811.802122902,4518070.356441788/14139518.546040928,4517552.636635096/-/car?c=15.00,0,0,0,dh",29,19
